Name,Registration No.,Type,E-mail,Telephone,Fax No.,Address,Contact Person,Correspondence Address,Validity,Trade Name,Exchange Name,Website,Correspondence E-mail,Correspondence Telephone,Correspondence Fax,Mobile No.
A K STOCK BROKING SERVICES (P) LTD,INB030946535,Registered Stock Brokers in equity segment,,,,,,,"Dec 06, 1996 - Perpetual",A K STOCK BROKING SERVICES (P) LTD,CALCUTTA STOCK EXCHANGE,,,,,
A SWAMINATHAN,INZ000173014,Registered Stock Brokers in equity segment,pla.swaminathan@gmail.com,04522633111,,33 II FLOOR LANDMARK MUTHUS MEDICKAL AGENCIES PREMISES NORTH KRISHNAN KOVIL STREET,,,"Mar 28, 2018 - Perpetual",A SWAMINATHAN,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A SWAMINATHAN,INZ000173014,Registered Stock Brokers in Equity Derivative Segment,pla.swaminathan@gmail.com,04522633111,,33 II FLOOR LANDMARK MUTHUS MEDICKAL AGENCIES PREMISES NORTH KRISHNAN KOVIL STREET,,,"Mar 28, 2018 - Perpetual",A SWAMINATHAN,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A SWAMINATHAN,INZ000173014,Registered Stock Brokers in equity segment,pla.swaminathan@gmail.com,04522633111,,33 II FLOOR LANDMARK MUTHUS MEDICKAL AGENCIES PREMISES NORTH KRISHNAN KOVIL STREET,,,"Mar 28, 2018 - Perpetual",A SWAMINATHAN,NSE Clearing Limited,,,,,
A SWAMINATHAN,INZ000173014,Registered Stock Brokers in Equity Derivative Segment,pla.swaminathan@gmail.com,04522633111,,33 II FLOOR LANDMARK MUTHUS MEDICKAL AGENCIES PREMISES NORTH KRISHNAN KOVIL STREET,,,"Mar 28, 2018 - Perpetual",A SWAMINATHAN,NSE Clearing Limited,,,,,
A TO Z STOCK TRADE PRIVATE LIMITED,INF011290633,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Aug 11, 2011 - Perpetual",A TO Z STOCK TRADE PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A TO Z STOCK TRADE PRIVATE LIMITED,INB011290633,Registered Stock Brokers in equity segment,,,,,,,"Aug 11, 2011 - Perpetual",A TO Z STOCK TRADE PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A&G STOCK BROKING & CO,INZ000305026,Registered Stock Brokers in equity segment,angstockbroking@gmail.com,9102178530376655,,"PLOT NO.275,AMBIKA NAGAR, MIDC ROAD SOLAPUR",,,"Mar 07, 2022 - Perpetual",A&G STOCK BROKING & CO,NSE Clearing Limited,,,,,
A&G STOCK BROKING & CO,INZ000305026,Registered Stock Brokers in equity segment,angstockbroking@gmail.com,9102178530376655,,"PLOT NO.275,AMBIKA NAGAR, MIDC ROAD SOLAPUR",,,"Mar 07, 2022 - Perpetual",A&G STOCK BROKING & CO,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A&G STOCK BROKING & CO,INZ000305026,Registered Stock Brokers in Equity Derivative Segment,angstockbroking@gmail.com,9102178530376655,,"PLOT NO.275,AMBIKA NAGAR, MIDC ROAD SOLAPUR",,,"Mar 07, 2022 - Perpetual",A&G STOCK BROKING & CO,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A&G STOCK BROKING & CO,INZ000305026,Registered Stock Brokers in Equity Derivative Segment,angstockbroking@gmail.com,9102178530376655,,"PLOT NO.275,AMBIKA NAGAR, MIDC ROAD SOLAPUR",,,"Mar 07, 2022 - Perpetual",A&G STOCK BROKING & CO,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A&G STOCK BROKING & CO,INZ000305026,Registered Stock Brokers in Currency Derivative Segment,angstockbroking@gmail.com,9102178530376655,,"PLOT NO.275,AMBIKA NAGAR, MIDC ROAD SOLAPUR",,,"Mar 07, 2022 - Perpetual",A&G STOCK BROKING & CO,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A&G STOCK BROKING & CO,INZ000305026,Registered Stock Brokers in Currency Derivative Segment,angstockbroking@gmail.com,9102178530376655,,"PLOT NO.275,AMBIKA NAGAR, MIDC ROAD SOLAPUR",,,"Mar 07, 2022 - Perpetual",A&G STOCK BROKING & CO,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. C. CHOKSI SHARE BROKERS PVT. LTD.,INZ000198136,Registered Stock Brokers in Equity Derivative Segment,COMPLIANCE@ACCHOKSI.COM,9102222044000,,"ITTS HOUSE,2ND FLOOR, ROPE WALK STREET,KALAGHODA28,K.DUBASH MARG",,,"Jan 13, 1998 - Perpetual",A. C. CHOKSI SHARE BROKERS PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A. C. CHOKSI SHARE BROKERS PVT. LTD.,INZ000198136,Registered Stock Brokers in Equity Derivative Segment,COMPLIANCE@ACCHOKSI.COM,9102222044000,,"ITTS HOUSE,2ND FLOOR, ROPE WALK STREET,KALAGHODA28,K.DUBASH MARG",,,"Jan 13, 1998 - Perpetual",A. C. CHOKSI SHARE BROKERS PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. C. CHOKSI SHARE BROKERS PVT. LTD.,INZ000198136,Registered Stock Brokers in Equity Derivative Segment,COMPLIANCE@ACCHOKSI.COM,9102222044000,,"ITTS HOUSE,2ND FLOOR, ROPE WALK STREET,KALAGHODA28,K.DUBASH MARG",,,"Jan 13, 1998 - Perpetual",A. C. CHOKSI SHARE BROKERS PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A. C. CHOKSI SHARE BROKERS PVT. LTD.,INZ000198136,Registered Stock Brokers in equity segment,COMPLIANCE@ACCHOKSI.COM,9102222044000,,"ITTS HOUSE,2ND FLOOR, ROPE WALK STREET,KALAGHODA28,K.DUBASH MARG",,,"Jan 13, 1998 - Perpetual",A. C. CHOKSI SHARE BROKERS PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A. C. CHOKSI SHARE BROKERS PVT. LTD.,INZ000198136,Registered Stock Brokers in equity segment,COMPLIANCE@ACCHOKSI.COM,9102222044000,,"ITTS HOUSE,2ND FLOOR, ROPE WALK STREET,KALAGHODA28,K.DUBASH MARG",,,"Jan 13, 1998 - Perpetual",A. C. CHOKSI SHARE BROKERS PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A. K. EQUITIES PVT. LTD.,INZ000239939,Registered Stock Brokers in equity segment,compliance@akequities.com,0917039780793,,"4th Floor, Kalpataru Heritage 127, M. G. Road, Fort",,,"Sep 15, 2003 - Perpetual",A. K. EQUITIES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A. K. EQUITIES PVT. LTD.,INZ000239939,Registered Stock Brokers in equity segment,compliance@akequities.com,0917039780793,,"4th Floor, Kalpataru Heritage 127, M. G. Road, Fort",,,"Sep 15, 2003 - Perpetual",A. K. EQUITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. K. EQUITIES PVT. LTD.,INZ000239939,Registered Stock Brokers in Equity Derivative Segment,compliance@akequities.com,0917039780793,,"4th Floor, Kalpataru Heritage 127, M. G. Road, Fort",,,"Sep 15, 2003 - Perpetual",A. K. EQUITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. K. EQUITIES PVT. LTD.,INZ000239939,Registered Stock Brokers in equity segment,compliance@akequities.com,0917039780793,,"4th Floor, Kalpataru Heritage 127, M. G. Road, Fort",,,"Sep 15, 2003 - Perpetual",A. K. EQUITIES PVT. LTD.,NSE Clearing Limited,,,,,
A. K. EQUITIES PVT. LTD.,INZ000239939,Registered Stock Brokers in Equity Derivative Segment,compliance@akequities.com,0917039780793,,"4th Floor, Kalpataru Heritage 127, M. G. Road, Fort",,,"Sep 15, 2003 - Perpetual",A. K. EQUITIES PVT. LTD.,NSE Clearing Limited,,,,,
A. K. EQUITIES PVT. LTD.,INB011198539,Registered Stock Brokers in equity segment,,,,,,,"Sep 15, 2003 - Perpetual",A. K. EQUITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. K. EQUITIES PVT. LTD.,INZ000239939,Registered Stock Brokers in equity segment,compliance@akequities.com,0917039780793,,"4th Floor, Kalpataru Heritage 127, M. G. Road, Fort",,,"Sep 15, 2003 - Perpetual",A. K. EQUITIES PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A. K. STOCKMART PRIVATE LIMITED,INZ000240830,Registered Stock Brokers in equity segment,compliance.akspl@akgroup.co.in,9102267546500,9102267544666,"601-602, 6th Floor, Windsor, Off CST Road Kalina, Santacruz (East)",,,"Jun 14, 2006 - Perpetual",A. K. STOCKMART PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A. K. STOCKMART PRIVATE LIMITED,INZ000240830,Registered Stock Brokers in equity segment,compliance.akspl@akgroup.co.in,9102267546500,9102267544666,"601-602, 6th Floor, Windsor, Off CST Road Kalina, Santacruz (East)",,,"Jun 14, 2006 - Perpetual",A. K. STOCKMART PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. K. STOCKMART PRIVATE LIMITED,INZ000240830,Registered Stock Brokers in equity segment,compliance.akspl@akgroup.co.in,9102267546500,9102267544666,"601-602, 6th Floor, Windsor, Off CST Road Kalina, Santacruz (East)",,,"Jun 14, 2006 - Perpetual",A. K. STOCKMART PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A. K. STOCKMART PRIVATE LIMITED,INZ000240830,Registered Stock Brokers in Equity Derivative Segment,compliance.akspl@akgroup.co.in,9102267546500,9102267544666,"601-602, 6th Floor, Windsor, Off CST Road Kalina, Santacruz (East)",,,"Jun 14, 2006 - Perpetual",A. K. STOCKMART PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. K. STOCKMART PRIVATE LIMITED,INZ000240830,Registered Stock Brokers in Equity Derivative Segment,compliance.akspl@akgroup.co.in,9102267546500,9102267544666,"601-602, 6th Floor, Windsor, Off CST Road Kalina, Santacruz (East)",,,"Jun 14, 2006 - Perpetual",A. K. STOCKMART PRIVATE LIMITED,NSE Clearing Limited,,,,,
A. K. STOCKMART PRIVATE LIMITED,INZ000240830,Registered Stock Brokers in Currency Derivative Segment,compliance.akspl@akgroup.co.in,9102267546500,9102267544666,"601-602, 6th Floor, Windsor, Off CST Road Kalina, Santacruz (East)",,,"Jun 14, 2006 - Perpetual",A. K. STOCKMART PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A. K. STOCKMART PRIVATE LIMITED,INZ000240830,Registered Stock Brokers in Currency Derivative Segment,compliance.akspl@akgroup.co.in,9102267546500,9102267544666,"601-602, 6th Floor, Windsor, Off CST Road Kalina, Santacruz (East)",,,"Jun 14, 2006 - Perpetual",A. K. STOCKMART PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A. K. STOCKMART PRIVATE LIMITED,INZ000240830,Registered Stock Brokers in equity segment,compliance.akspl@akgroup.co.in,9102267546500,9102267544666,"601-602, 6th Floor, Windsor, Off CST Road Kalina, Santacruz (East)",,,"Jun 14, 2006 - Perpetual",A. K. STOCKMART PRIVATE LIMITED,NSE Clearing Limited,,,,,
A. K. WEALTH MANAGEMENT PRIVATE LIMITED,INP000003674,Registered Portfolio Managers,cs@akgroup.co.in,912267546500,912266100594,"603, 6TH FLOOR, WINDSOR, OFF CST ROAD,, KALINA, SANTACRUZ (EAST), MUMBAI, MAHARASHTRA, 400098",Tejas Dawda,"603, 6TH FLOOR, WINDSOR, OFF CST ROAD, KALINA, SANTACRUZ (EAST), MUMBAI, MAHARASHTRA, 400098","May 30, 2016 - Perpetual",,,akgroup.co.in/,,,,
A. N. SECURITIES,INZ000292027,Registered Stock Brokers in Currency Derivative Segment,abhishek1993jain@gmail.com,919910156233,,"A-16,SURAJMAL VIHAR,",,,"Jan 18, 2011 - Perpetual",A. N. SECURITIES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. N. SECURITIES,INZ000292027,Registered Stock Brokers in Equity Derivative Segment,abhishek1993jain@gmail.com,919910156233,,"A-16,SURAJMAL VIHAR,",,,"Jan 18, 2011 - Perpetual",A. N. SECURITIES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. N. SECURITIES,INZ000292027,Registered Stock Brokers in equity segment,abhishek1993jain@gmail.com,919910156233,,"A-16,SURAJMAL VIHAR,",,,"Jan 18, 2011 - Perpetual",A. N. SECURITIES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A. N. SECURITIES,INZ000292027,Registered Stock Brokers in equity segment,abhishek1993jain@gmail.com,919910156233,,"A-16,SURAJMAL VIHAR,",,,"Jan 18, 2011 - Perpetual",A. N. SECURITIES,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A.A.DOSHI SHARE & STOCK BROKERS LIMITED,INZ000212336,Registered Stock Brokers in equity segment,info@aadoshi.in,9102222721086,,"R-711, ROTUNDA BUILDING BOMBAY SAMACHAR MARG, FORT",,,"Oct 12, 1994 - Perpetual",A.A.DOSHI SHARE & STOCK BROKERS LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A.A.DOSHI SHARE & STOCK BROKERS LIMITED,INF260639639,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Dec 10, 2012 - Perpetual",A.A.DOSHI SHARE & STOCK BROKERS LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
A.A.DOSHI SHARE & STOCK BROKERS LIMITED,INB260639639,Registered Stock Brokers in equity segment,,,,,,,"Dec 10, 2012 - Perpetual",A.A.DOSHI SHARE & STOCK BROKERS LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
A.A.DOSHI SHARE & STOCK BROKERS LIMITED,INZ000212336,Registered Stock Brokers in Equity Derivative Segment,info@aadoshi.in,9102222721086,,"R-711, ROTUNDA BUILDING BOMBAY SAMACHAR MARG, FORT",,,"Oct 12, 1994 - Perpetual",A.A.DOSHI SHARE & STOCK BROKERS LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A.G. SHARES & SECURITIES LTD.,INZ000169733,Registered Stock Brokers in Currency Derivative Segment,compliance@agssl.in,007976568943,,"SHOP NO 1, FIRST FLOOR 20/4,SHOP NO 1 MARUTI TOWER, SANJAY PLACE",,,"Nov 22, 1995 - Perpetual",A.G. SHARES & SECURITIES LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A.G. SHARES & SECURITIES LTD.,INZ000169733,Registered Stock Brokers in Currency Derivative Segment,compliance@agssl.in,007976568943,,"SHOP NO 1, FIRST FLOOR 20/4,SHOP NO 1 MARUTI TOWER, SANJAY PLACE",,,"Nov 22, 1995 - Perpetual",A.G. SHARES & SECURITIES LTD.,NSE Clearing Limited,,,,,
A.G. SHARES & SECURITIES LTD.,INZ000169733,Registered Stock Brokers in Equity Derivative Segment,compliance@agssl.in,007976568943,,"SHOP NO 1, FIRST FLOOR 20/4,SHOP NO 1 MARUTI TOWER, SANJAY PLACE",,,"Nov 22, 1995 - Perpetual",A.G. SHARES & SECURITIES LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A.G. SHARES & SECURITIES LTD.,INZ000169733,Registered Stock Brokers in equity segment,compliance@agssl.in,007976568943,,"SHOP NO 1, FIRST FLOOR 20/4,SHOP NO 1 MARUTI TOWER, SANJAY PLACE",,,"Nov 22, 1995 - Perpetual",A.G. SHARES & SECURITIES LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A.G. SHARES & SECURITIES LTD.,INZ000169733,Registered Stock Brokers in Equity Derivative Segment,compliance@agssl.in,007976568943,,"SHOP NO 1, FIRST FLOOR 20/4,SHOP NO 1 MARUTI TOWER, SANJAY PLACE",,,"Nov 22, 1995 - Perpetual",A.G. SHARES & SECURITIES LTD.,NSE Clearing Limited,,,,,
A.G. SHARES & SECURITIES LTD.,INZ000169733,Registered Stock Brokers in equity segment,compliance@agssl.in,007976568943,,"SHOP NO 1, FIRST FLOOR 20/4,SHOP NO 1 MARUTI TOWER, SANJAY PLACE",,,"Nov 22, 1995 - Perpetual",A.G. SHARES & SECURITIES LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A.G. SHARES & SECURITIES LTD.,INZ000169733,Registered Stock Brokers in equity segment,compliance@agssl.in,007976568943,,"SHOP NO 1, FIRST FLOOR 20/4,SHOP NO 1 MARUTI TOWER, SANJAY PLACE",,,"Nov 22, 1995 - Perpetual",A.G. SHARES & SECURITIES LTD.,NSE Clearing Limited,,,,,
A.K. CAPITAL SERVICES LTD,INM000010411,Merchant Bankers,tejas.davda@akgroup.co.in,912267546546,912267546546,"603, 6TH FLOOR, WINDSOR, OFF CST ROAD,, KALINA, SANTACRUZ (EAST), MUMBAI, MAHARASHTRA, 400098",Tejas Dawda,"603, 6TH FLOOR, WINDSOR, OFF CST ROAD, KALINA, SANTACRUZ (EAST), MUMBAI, MAHARASHTRA, 400098","Apr 01, 2016 - Perpetual",,,,tejas.davda@akgroup.co.in,91-22-67546546,91-22-67546546,
A.K. STOCKMART PRIVATE LIMITED,INB261269535,Registered Stock Brokers in equity segment,,,,,,,"Apr 09, 2013 - Perpetual",A.K. STOCKMART PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in Equity Derivative Segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in Currency Derivative Segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in equity segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in Equity Derivative Segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in Currency Derivative Segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in Equity Derivative Segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,NSE Clearing Limited,,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in equity segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in Currency Derivative Segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in Currency Derivative Segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,NSE Clearing Limited,,,,,
A.P.T. RESEARCH PRIVATE LIMITED,INZ000194330,Registered Stock Brokers in Equity Derivative Segment,accounts@aptportfolio.com,0919990214232,,"UNIT NO. 303A, 303B, 304A & 304B THRID FLOOR TOWER A, WTC, GIFT CITY,BLOCK NO. -51, ROAD-5E, ZONE -5, GIFT CITY",,,"Jun 18, 2010 - Perpetual",A.P.T. RESEARCH PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
AADINATH SECURITIES PVT. LTD.,INE261254435,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Sep 30, 2008 - Perpetual",AADINATH SECURITIES PVT. LTD.,METROPOLITAN STOCK EXCHANGE,,,,,
AADINATH SECURITIES PVT. LTD.,INF231254435,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Mar 16, 2006 - Perpetual",AADINATH SECURITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
AARAYAA FINSTOCK PVT LTD,INB010993337,Registered Stock Brokers in equity segment,,,,,,,"Jan 13, 1998 - Perpetual",AARAYAA FINSTOCK PVT LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in equity segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in Equity Derivative Segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in Currency Derivative Segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in Currency Derivative Segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,NSE Clearing Limited,,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in equity segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in equity segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in equity segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,NSE Clearing Limited,,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in Equity Derivative Segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in Equity Derivative Segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,NSE Clearing Limited,,,,,
AARITYA BROKING PRIVATE LIMITED,INZ000317632,Registered Stock Brokers in Currency Derivative Segment,vaibhav@aaritya.com,000809833611421,,"3rd floor, Brigade Metropolis Summit B Whitefield, Mahadevpura",,,"Apr 30, 2024 - Perpetual",AARITYA BROKING PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
AARNIK SECURITIES PVT. LTD.,INZ000291038,Registered Stock Brokers in Equity Derivative Segment,aarniksec@yahoo.co.in,9102222088750,,"509,DALAMAL CHAMBERS 29,NEW MARINE LINES",,,"Jun 27, 2000 - Perpetual",AARNIK SECURITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
AARNIK SECURITIES PVT. LTD.,INZ000291038,Registered Stock Brokers in equity segment,aarniksec@yahoo.co.in,9102222088750,,"509,DALAMAL CHAMBERS 29,NEW MARINE LINES",,,"Jun 27, 2000 - Perpetual",AARNIK SECURITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
AARNIK SECURITIES PVT. LTD.,INZ000291038,Registered Stock Brokers in equity segment,aarniksec@yahoo.co.in,9102222088750,,"509,DALAMAL CHAMBERS 29,NEW MARINE LINES",,,"Jun 27, 2000 - Perpetual",AARNIK SECURITIES PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED,INP000004599,Registered Portfolio Managers,prabir.chatterjee@aarohanfinance.com,91404023546894,91404023546894,"8 2 120 77 A, FIRST FLOOR, ROAD NO. 2, BANJARA HILLS, HYDERABAD, ANDHRA PRADESH, 500034",PRABIR CHATTERJEE,"701 RICK ASHE BUILDING ST ANTHONY ROAD, BANDRA WEST, MUMBAI, MAHARASHTRA, 400050","Dec 17, 2014 - Perpetual",,,aarohanfinance.com/,,,,
